address,latitude,longitude,floorSize,price,url
"1031 W Papeete St, Wilmington, CA 90744",33.787228,-118.27602,"1,408","$728,888",https://www.zillow.com/homedetails/1031-W-Papeete-St-Wilmington-CA-90744/21293600_zpid/
"427 S Lucerne Blvd, Los Angeles, CA 90020",34.066326,-118.3248,"4,372","$5,085,000",https://www.zillow.com/homedetails/427-S-Lucerne-Blvd-Los-Angeles-CA-90020/20775231_zpid/
"7130 Glade Ave Unit L, Canoga Park, CA 91303",34.200035,-118.60778,"1,577","$524,900",https://www.zillow.com/homedetails/7130-Glade-Ave-UNIT-L-Canoga-Park-CA-91303/19867595_zpid/
"3206 Oakley Dr, Los Angeles, CA 90068",34.129795,-118.35802,"2,407","$1,899,000",https://www.zillow.com/homedetails/3206-Oakley-Dr-Los-Angeles-CA-90068/20044936_zpid/
"8905 Devlin Pl, Los Angeles, CA 90069",34.09501,-118.38492,"11,644","$38,000,000",https://www.zillow.com/homedetails/8905-Devlin-Pl-Los-Angeles-CA-90069/20799550_zpid/
"1251 Tower Grove Dr, Beverly Hills, CA 90210",34.093098,-118.42458,"14,500","$58,000,000",https://www.zillow.com/homedetails/1251-Tower-Grove-Dr-Beverly-Hills-CA-90210/20523657_zpid/
"5650 Ensign Ave, North Hollywood, CA 91601",34.17359,-118.37086,"1,177","$849,500",https://www.zillow.com/homedetails/5650-Ensign-Ave-North-Hollywood-CA-91601/20011992_zpid/
"782 Ranch Ln, Pacific Palisades, CA 90272",34.04313,-118.51461,"6,366","$8,500,000",https://www.zillow.com/homedetails/782-Ranch-Ln-Pacific-Palisades-CA-90272/20539523_zpid/
"11490 Orum Rd, Los Angeles, CA 90049",34.088596,-118.464325,"18,850","$42,000,000",https://www.zillow.com/homedetails/11490-Orum-Rd-Los-Angeles-CA-90049/20528926_zpid/
"1 Bode Dr, Los Angeles, CA 90069",34.101,-118.3789,"10,000","$19,990,000",https://www.zillow.com/homedetails/1-Bode-Dr-Los-Angeles-CA-90069/2076735505_zpid/
"1333 N Kenter Ave, Los Angeles, CA 90049",34.079422,-118.49329,"2,151","$3,500,000",https://www.zillow.com/homedetails/1333-N-Kenter-Ave-Los-Angeles-CA-90049/243991681_zpid/
"4702 Fulton Ave Apt 306, Sherman Oaks, CA 91423",34.156113,-118.42217,"1,350","$659,000",https://www.zillow.com/homedetails/4702-Fulton-Ave-APT-306-Sherman-Oaks-CA-91423/81772512_zpid/
